UTC_TX,Latitude_raw_TX,Latitude_dir_TX,Longitude_raw_TX,Longitude_dir_TX,speed_raw_TX,heading_raw_TX,seq_num_TX,UTC_RX,Latitude_raw_RX,Latitude_dir_RX,Longitude_raw_RX,Longitude_dir_RX,speed_raw_RX,heading_raw_RX,IPG,Latency,Distance_RXTX,UTC_RAW_GPS,diff
163007.90,4437.16767,N,01056.60282,E,30.530,215.67,271,163007.907240,4437.21354,N,01056.65253,E,47.558,215.84,495.983000,7.240000,86.324369,163008.20,292760
163008.30,4437.16492,N,01056.60005,E,30.376,215.58,272,163008.308598,4437.21141,N,01056.65036,E,47.430,216.06,401.358000,8.598000,87.487405,163008.40,91402
163008.70,4437.16219,N,01056.59726,E,30.287,216.26,273,163008.706677,4437.20606,N,01056.64490,E,47.809,216.15,398.079000,6.677000,82.565651,163008.90,193323
163009.10,4437.15948,N,01056.59449,E,30.093,216.11,274,163009.106206,4437.20284,N,01056.64160,E,48.115,216.24,399.529000,6.206000,81.607072,163009.20,93794
163009.50,4437.15679,N,01056.59175,E,29.959,216.34,275,163009.506362,4437.19642,N,01056.63495,E,47.783,216.65,400.156000,6.362000,74.594447,163009.80,293638
163009.90,4437.15410,N,01056.58903,E,29.835,215.67,276,163009.908216,4437.19430,N,01056.63272,E,47.661,216.64,401.854000,8.216000,75.660421,163010.00,91784
163010.30,4437.15143,N,01056.58635,E,29.429,215.50,277,163010.311156,4437.19006,N,01056.62829,E,47.576,216.81,402.940000,11.156000,72.703237,163010.40,88844
163010.70,4437.14879,N,01056.58365,E,29.382,215.71,278,163010.710328,4437.18377,N,01056.62169,E,47.007,216.65,399.172000,10.328000,65.837109,163011.00,289672
163011.50,4437.14356,N,01056.57828,E,28.947,215.91,280,163011.507383,4437.17648,N,01056.61415,E,46.453,216.15,797.055000,7.383000,61.963635,163011.70,192617
163011.90,4437.14096,N,01056.57561,E,28.878,215.62,281,163011.906354,4437.17337,N,01056.61097,E,46.234,216.18,398.971000,6.354000,61.006113,163012.00,93646
163012.80,4437.13514,N,01056.56959,E,29.050,216.14,283,163012.809245,4437.16413,N,01056.60151,E,45.505,216.08,902.891000,9.245000,54.584062,163012.90,90755
163013.60,4437.12993,N,01056.56424,E,29.193,216.90,285,163013.609337,4437.15602,N,01056.59322,E,44.845,215.84,800.092000,9.337000,49.137355,163013.70,90663
163014.00,4437.12728,N,01056.56158,E,29.209,215.23,286,163014.011560,4437.15000,N,01056.58709,E,44.415,215.95,402.223000,11.560000,42.805164,163014.30,288440
163014.40,4437.12461,N,01056.55892,E,29.657,215.62,287,163014.414235,4437.14800,N,01056.58506,E,44.428,216.04,402.675000,14.235000,44.060835,163014.50,85765
163014.80,4437.12192,N,01056.55633,E,29.751,214.58,288,163014.812325,4437.14210,N,01056.57906,E,43.153,215.82,398.090000,12.325000,38.023658,163015.10,287675
163015.20,4437.11925,N,01056.55369,E,29.608,214.99,289,163015.215150,4437.14016,N,01056.57707,E,43.351,216.14,402.825000,15.150000,39.389785,163015.30,84850
163015.60,4437.11656,N,01056.55103,E,29.945,215.37,290,163015.611251,4437.13248,N,01056.56928,E,42.185,215.94,396.101000,11.251000,30.014386,163016.10,488749
163016.00,4437.11390,N,01056.54836,E,29.778,215.60,291,163016.101262,4437.12685,N,01056.56358,E,41.354,215.81,490.011000,101.262000,24.436018,163016.70,598738
