UTC,Latitude_raw,Latitude_dir,Longitude_raw,Longitude_dir,speed_raw,heading_raw,seq_num,trig_S,trig_H,trig_D,trig_TO
162910.800000,4437.498230,N,1057.001470,E,15.816000,213.000000,147,0,1,1,0
162911.300000,4437.496410,N,1056.999620,E,16.308000,217.470000,148,0,1,0,0
162911.900000,4437.494300,N,1056.997110,E,16.524000,222.390000,149,0,1,0,0
162912.400000,4437.492660,N,1056.994810,E,16.661000,226.610000,150,0,1,0,0
162913.200000,4437.490170,N,1056.990810,E,17.220000,230.140000,151,0,0,1,0
162913.900000,4437.488050,N,1056.987060,E,17.736000,232.240000,152,0,0,1,0
162914.800000,4437.485380,N,1056.981970,E,18.254000,234.520000,153,0,0,1,0
162915.500000,4437.483320,N,1056.977810,E,18.815000,235.380000,154,0,0,1,0
162916.200000,4437.481210,N,1056.973520,E,19.309000,235.030000,155,0,0,1,0
162916.900000,4437.479020,N,1056.969130,E,19.852000,234.870000,156,0,0,1,0
162917.600000,4437.476730,N,1056.964650,E,20.441000,234.290000,157,0,0,1,0
162918.300000,4437.474390,N,1056.960030,E,20.874000,234.900000,158,0,0,1,0
162919.000000,4437.471990,N,1056.955300,E,21.473000,234.540000,159,0,0,1,0
162919.600000,4437.469890,N,1056.951170,E,21.763000,234.100000,160,0,0,1,0
162920.300000,4437.467440,N,1056.946190,E,22.370000,235.880000,161,0,0,1,0
162920.900000,4437.465350,N,1056.941810,E,22.754000,236.640000,162,0,0,1,0
162921.500000,4437.463230,N,1056.937360,E,22.686000,236.380000,163,0,0,1,0
162922.100000,4437.461080,N,1056.932900,E,23.198000,235.830000,164,0,0,1,0
162922.700000,4437.458820,N,1056.928370,E,23.935000,234.810000,165,0,0,1,0
162923.300000,4437.456430,N,1056.923750,E,24.665000,233.660000,166,0,0,1,0
162923.800000,4437.454330,N,1056.919850,E,25.238000,232.470000,167,0,0,1,0
162924.300000,4437.452110,N,1056.915910,E,26.031000,231.340000,168,0,0,1,0
162924.800000,4437.449790,N,1056.911950,E,26.562000,230.250000,169,0,0,1,0
162925.300000,4437.447340,N,1056.907960,E,27.213000,228.780000,170,0,0,1,0
162925.900000,4437.444250,N,1056.903220,E,27.621000,227.050000,171,0,0,1,0
162926.300000,4437.442110,N,1056.900100,E,27.712000,225.570000,172,0,0,1,0
162926.700000,4437.439930,N,1056.897050,E,27.617000,224.600000,173,0,0,1,0
162927.100000,4437.437690,N,1056.894040,E,27.849000,223.600000,174,0,0,1,0
162927.500000,4437.435420,N,1056.891070,E,28.086000,222.820000,175,0,0,1,0
162928.000000,4437.432560,N,1056.887360,E,28.110000,222.630000,176,0,0,1,0
162928.400000,4437.430220,N,1056.884380,E,28.506000,222.160000,177,0,0,1,0
162928.800000,4437.427880,N,1056.881400,E,28.635000,222.080000,178,0,0,1,0
162929.200000,4437.425520,N,1056.878420,E,28.773000,222.150000,179,0,0,1,0
162929.600000,4437.423140,N,1056.875430,E,28.832000,222.150000,180,0,0,1,0
162930.000000,4437.420760,N,1056.872400,E,28.933000,222.270000,181,0,0,1,0
162930.400000,4437.418380,N,1056.869350,E,28.933000,222.430000,182,0,0,1,0
162930.800000,4437.415980,N,1056.866270,E,29.404000,222.630000,183,0,0,1,0
162931.200000,4437.413580,N,1056.863170,E,29.500000,222.740000,184,0,0,1,0
162931.600000,4437.411170,N,1056.860050,E,29.693000,222.840000,185,0,0,1,0
162932.000000,4437.408750,N,1056.856890,E,29.741000,223.570000,186,0,0,1,0
162932.400000,4437.406320,N,1056.853730,E,29.836000,223.140000,187,0,0,1,0
162932.800000,4437.403860,N,1056.850540,E,30.158000,222.950000,188,0,0,1,0
162933.200000,4437.401390,N,1056.847360,E,30.235000,222.610000,189,0,0,1,0
162933.600000,4437.398900,N,1056.844180,E,30.415000,222.150000,190,0,0,1,0
162934.000000,4437.396370,N,1056.841030,E,30.473000,221.740000,191,0,0,1,0
162934.400000,4437.393820,N,1056.837880,E,30.578000,221.250000,192,0,0,1,0
162934.800000,4437.391230,N,1056.834760,E,30.719000,220.590000,193,0,0,1,0
162935.200000,4437.388640,N,1056.831640,E,30.718000,220.640000,194,0,0,1,0
162935.600000,4437.386020,N,1056.828530,E,30.791000,219.950000,195,0,0,1,0
162936.200000,4437.382060,N,1056.823860,E,30.902000,219.940000,196,0,0,1,0
162936.700000,4437.378710,N,1056.819960,E,31.357000,219.640000,197,0,0,1,0
162937.100000,4437.376030,N,1056.816840,E,31.472000,219.450000,198,0,0,1,0
162937.500000,4437.373330,N,1056.813740,E,31.512000,219.240000,199,0,0,1,0
162937.900000,4437.370620,N,1056.810660,E,31.237000,219.150000,200,0,0,1,0
162938.300000,4437.367910,N,1056.807610,E,31.310000,218.930000,201,0,0,1,0
162938.700000,4437.365220,N,1056.804570,E,31.157000,218.610000,202,0,0,1,0
162939.200000,4437.361850,N,1056.800800,E,31.126000,218.440000,203,0,0,1,0
162939.600000,4437.359170,N,1056.797800,E,30.846000,218.510000,204,0,0,1,0
162940.000000,4437.356490,N,1056.794810,E,30.708000,218.770000,205,0,0,1,0
162940.400000,4437.353810,N,1056.791840,E,30.513000,218.560000,206,0,0,1,0
162940.800000,4437.351140,N,1056.788870,E,30.566000,218.610000,207,0,0,1,0
162941.400000,4437.347140,N,1056.784450,E,30.396000,218.120000,208,0,0,1,0
162941.800000,4437.344470,N,1056.781520,E,30.385000,218.130000,209,0,0,1,0
162942.300000,4437.341150,N,1056.777850,E,30.344000,218.270000,210,0,0,1,0
162942.700000,4437.338500,N,1056.774910,E,30.313000,218.380000,211,0,0,1,0
162943.100000,4437.335860,N,1056.771970,E,30.313000,218.420000,212,0,0,1,0
162943.500000,4437.333210,N,1056.769030,E,30.306000,218.200000,213,0,0,1,0
162943.900000,4437.330570,N,1056.766110,E,30.215000,217.940000,214,0,0,1,0
162944.300000,4437.327910,N,1056.763210,E,30.278000,217.740000,215,0,0,1,0
162944.700000,4437.325240,N,1056.760330,E,30.188000,217.420000,216,0,0,1,0
162945.100000,4437.322570,N,1056.757490,E,30.153000,217.080000,217,0,0,1,0
162945.500000,4437.319900,N,1056.754700,E,29.969000,216.650000,218,0,0,1,0
162945.900000,4437.317230,N,1056.751920,E,29.879000,216.610000,219,0,0,1,0
162946.300000,4437.314570,N,1056.749180,E,29.659000,216.470000,220,0,0,1,0
162946.700000,4437.311910,N,1056.746490,E,29.594000,215.760000,221,0,0,1,0
162947.100000,4437.309260,N,1056.743820,E,29.407000,215.570000,222,0,0,1,0
162947.500000,4437.306600,N,1056.741190,E,29.284000,215.310000,223,0,0,1,0
162947.900000,4437.303930,N,1056.738550,E,29.383000,214.920000,224,0,0,1,0
162948.300000,4437.301270,N,1056.735900,E,29.399000,215.580000,225,0,0,1,0
162948.700000,4437.298610,N,1056.733220,E,29.310000,215.610000,226,0,0,1,0
162949.100000,4437.295930,N,1056.730550,E,29.630000,215.550000,227,0,0,1,0
162949.500000,4437.293260,N,1056.727850,E,29.634000,215.870000,228,0,0,1,0
162949.900000,4437.290600,N,1056.725150,E,29.645000,216.010000,229,0,0,1,0
162950.300000,4437.287930,N,1056.722420,E,29.618000,216.400000,230,0,0,1,0
162950.800000,4437.284600,N,1056.719020,E,29.714000,215.970000,231,0,0,1,0
162951.200000,4437.281960,N,1056.716280,E,29.657000,216.770000,232,0,0,1,0
162951.600000,4437.279300,N,1056.713560,E,29.569000,216.060000,233,0,0,1,0
162952.100000,4437.275970,N,1056.710150,E,29.738000,215.880000,234,0,0,1,0
162952.500000,4437.273280,N,1056.707460,E,29.851000,215.550000,235,0,0,1,0
162952.900000,4437.270590,N,1056.704780,E,29.728000,215.210000,236,0,0,1,0
162953.400000,4437.267210,N,1056.701440,E,29.717000,214.870000,237,0,0,1,0
162953.800000,4437.264510,N,1056.698770,E,29.706000,215.310000,238,0,0,1,0
162954.200000,4437.261800,N,1056.696110,E,29.865000,214.760000,239,0,0,1,0
162954.600000,4437.259090,N,1056.693440,E,29.968000,215.060000,240,0,0,1,0
162955.000000,4437.256360,N,1056.690790,E,29.935000,214.840000,241,0,0,1,0
162955.400000,4437.253640,N,1056.688150,E,29.923000,214.670000,242,0,0,1,0
162955.800000,4437.250910,N,1056.685540,E,29.787000,214.320000,243,0,0,1,0
162956.300000,4437.247490,N,1056.682250,E,29.841000,214.400000,244,0,0,1,0
162956.700000,4437.244740,N,1056.679640,E,29.994000,214.130000,245,0,0,1,0
162957.100000,4437.241990,N,1056.677040,E,29.951000,214.020000,246,0,0,1,0
162957.600000,4437.238530,N,1056.673770,E,30.022000,214.170000,247,0,0,1,0
162958.000000,4437.235760,N,1056.671150,E,29.983000,214.320000,248,0,0,1,0
